cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3542206;Rancharia;28.754;28.804;28.847;28.886;28.419;27.295;0,02;0,01;0,01;-0,16;-0,4
3542305;Redenção da Serra;4.047;3.874;3.837;3.802;3.722;3.595;-0,44;-0,1;-0,09;-0,21;-0,35
3542404;Regente Feijó;16.977;18.481;19.491;19.995;19.886;19.150;0,85;0,53;0,26;-0,05;-0,38
3542503;Reginópolis;4.742;7.297;7.215;7.086;6.917;6.637;4,4;-0,11;-0,18;-0,24;-0,41
3542602;Registro;53.704;54.257;54.216;54.781;55.265;54.652;0,1;-0,01;0,1;0,09;-0,11
3542701;Restinga;5.572;6.578;7.493;8.255;8.724;8.965;1,67;1,31;0,97;0,55;0,27
3542800;Ribeira;3.512;3.359;3.242;3.233;3.234;3.216;-0,44;-0,35;-0,03;0;-0,06
3542909;Ribeirão Bonito;11.237;12.127;12.959;13.632;14.067;14.182;0,77;0,67;0,51;0,31;0,08
3543006;Ribeirão Branco;21.211;18.292;17.685;17.685;17.553;17.114;-1,47;-0,34;0;-0,07;-0,25
3543105;Ribeirão Corrente;3.874;4.270;4.664;4.987;5.192;5.269;0,98;0,89;0,67;0,4;0,15
3543204;Ribeirão do Sul;4.488;4.446;4.360;4.253;4.068;3.805;-0,09;-0,2;-0,25;-0,44;-0,67
3543238;Ribeirão dos Índios;2.221;2.187;2.141;2.091;2.002;1.873;-0,15;-0,21;-0,24;-0,43;-0,66
3543253;Ribeirão Grande;7.377;7.422;7.510;7.591;7.713;7.657;0,06;0,12;0,11;0,16;-0,07
3543303;Ribeirão Pires;104.305;112.994;118.968;121.747;121.068;117.245;0,8;0,52;0,23;-0,06;-0,32
3543402;Ribeirão Preto;504.162;603.774;683.777;726.450;737.629;723.986;1,82;1,25;0,61;0,15;-0,19
3543501;Riversul;7.210;6.171;5.705;5.555;5.472;5.341;-1,54;-0,78;-0,27;-0,15;-0,24
3543600;Rifaina;3.321;3.435;3.468;3.470;3.385;3.218;0,34;0,1;0,01;-0,25;-0,5
3543709;Rincão;10.330;10.413;10.496;10.573;10.540;10.266;0,08;0,08;0,07;-0,03;-0,26
3543808;Rinópolis;10.263;9.938;9.720;9.480;9.120;8.599;-0,32;-0,22;-0,25;-0,39;-0,59
